   0.00000000       4.00000000       0.00000000    
   5.00000007E-02   3.96534085      -1.37861264    
  0.100000001       3.86310434      -2.69939566    
  0.150000006       3.69672346      -3.94098330    
  0.200000003       3.47065330      -5.08390331    
  0.250000000       3.19026899      -6.11086798    
  0.300000012       2.86175036      -7.00701714    
  0.350000024       2.49195528      -7.76011467    
  0.400000036       2.08828473      -8.36069584    
  0.450000048       1.65854156      -8.80216217    
  0.500000060       1.21078598      -9.08082294    
  0.550000072      0.753189921      -9.19588852    
  0.600000083      0.293893427      -9.14941216    
  0.650000095     -0.159135044      -8.94618511    
  0.700000107     -0.598232031      -8.59358406    
  0.750000119      -1.01616359      -8.10138226    
  0.800000131      -1.40623975      -7.48152113    
  0.850000143      -1.76241636      -6.74784946    
  0.900000155      -2.07938361      -5.91583920    
  0.950000167      -2.35263944      -5.00227690    
   1.00000012      -2.57854724      -4.02494192    
   1.05000007      -2.75437737      -3.00227594    
   1.10000002      -2.87833190      -1.95304668    
   1.14999998      -2.94955230     -0.896017551    
   1.19999993      -2.96811152      0.150377035    
   1.24999988      -2.93498945       1.16834116    
   1.29999983      -2.85203385       2.14100885    
   1.34999979      -2.72190666       3.05271244    
   1.39999974      -2.54801798       3.88922310    
   1.44999969      -2.33444953       4.63796091    
   1.49999964      -2.08586669       5.28817177    
   1.54999959      -1.80742383       5.83106661    
   1.59999955      -1.50466359       6.25992632    
   1.64999950      -1.18341124       6.57016516    
   1.69999945     -0.849667549       6.75935745    
   1.74999940     -0.509500504       6.82722712    
   1.79999936     -0.168939322       6.77559853    
   1.84999931      0.166129023       6.60831261    
   1.89999926      0.490057528       6.33111191    
   1.94999921      0.797530949       5.95149469    
   1.99999917       1.08364928       5.47854042    
   2.04999924       1.34400201       4.92271566    
   2.09999919       1.57473218       4.29565907    
   2.14999914       1.77258921       3.60995078    
   2.19999909       1.93497026       2.87887287    
   2.24999905       2.05994892       2.11616206    
   2.29999900       2.14629173       1.33576226    
   2.34999895       2.19346237      0.551578045    
   2.39999890       2.20161414     -0.222763777    
   2.44999886       2.17156959     -0.974142849    
   2.49999881       2.10479045      -1.69015884    
   2.54999876       2.00333595      -2.35932827    
